dataset,model,seed,lambda_physics,epochs_requested,best_epoch,training_time_sec,params,model_size_mb,rmse,mae,r2,physics_error,boundary_flux_error,fft_error,mae_center,mae_boundary,latency_ms,flops,energy_per_inference_mj_proxy,normalization_protocol,strict_reproducibility
D6,CNN,1,1e-05,75,29,98.78172707557678,730041,2.7848854064941406,0.0007188357550837,0.0005654390767415,0.9997532674297752,0.200927576671044,0.0002607752588422,0.0066186933933446,0.0006331355058743,0.0006698850387086,0.0835993408184984,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,1e-05,75,7,49.54514813423157,730041,2.7848854064941406,0.0010568965035598,0.0007337360188802,0.9994666257276796,0.4997524892290433,0.0005234489605451,0.0115177703555673,0.0011406575116173,0.0003652762000759,0.0839071091858373,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,1e-05,75,14,65.40791463851929,730041,2.7848854064941406,0.0009377900014142,0.0006933049641927,0.9995800686123032,0.2406198258201281,0.0003741612866482,0.0088547909011443,0.0007782977821383,0.0003270124846797,0.0840685114372467,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,1e-05,75,27,94.36751317977904,730041,2.7848854064941406,0.0007693871429336,0.0005656159464518,0.9997173447930254,0.2057704341908296,0.0002744223093031,0.0068627062331264,0.0008121934515656,0.0002755804550057,0.0844221035747424,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,3e-05,75,63,168.44444584846497,730041,2.7848854064941406,0.0004861114836494,0.0003175101521809,0.9998871662810516,0.165895789861679,0.0001755653829604,0.0051596687020113,0.0004770164814544,0.0001147775783465,0.0841230073052903,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,3e-05,75,29,98.74356317520142,730041,2.7848854064941406,0.0008061926730177,0.0006480970987955,0.9996896549415276,0.1832875261704127,0.0002230673174684,0.0066189083348338,0.0007658528241639,0.0006688514889295,0.0836948013823965,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,3e-05,75,72,168.44529032707214,730041,2.7848854064941406,0.000452759776419,0.0003026931193033,0.999902118004508,0.1857724065581957,0.0001857502999579,0.0052789989858865,0.0004913462568462,0.0001156651196652,0.0835843924163044,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,3e-05,75,31,103.28428101539612,730041,2.7848854064941406,0.0008071132036063,0.0006249283243815,0.999688945817696,0.227113073070844,0.0003668829449452,0.0079569186006362,0.0008997927604165,0.0006599022890441,0.0843394318244595,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,3e-05,75,27,94.46177768707275,730041,2.7848854064941406,0.0007017735371295,0.000505875427246,0.9997648412645308,0.1976680656274159,0.0002718660034588,0.0065414700269078,0.0007465351081918,0.000242386470442,0.0841539771552535,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,0.0001,75,29,99.02072715759276,730041,2.7848854064941406,0.0007867241673313,0.0005061976399739,0.9997044628207336,0.1886839233338832,0.0004902234698723,0.0068796186630303,0.0007082515803631,0.0001740649446825,0.0841593963728434,202424000,,train_only_channelwise_standardization,True
